Улица Лесная, дом 12, кв. 3
Проспект Солнечный, дом 8Б
Переулок Радуга, дом 5, кв. 7
Набережная Заря, дом 21
Площадь Центральная, дом 3
Улица Цветочная, дом 17, кв. 1
Проспект Победы, дом 56А
Переулок Зеленый, дом 9
Набережная Речная, дом 33
Улица Звездная, дом 7, кв. 12
Проспект Мира, дом 42
Переулок Сиреневый, дом 2
Улица Лунная, дом 19
Площадь Городская, дом 1, кв. 5
Проспект Революции, дом 31
Улица Озерная, дом 8
Переулок Ленинградский, дом 6
Набережная Осенняя, дом 27
Площадь Весенняя, дом 11
Улица Заречная, дом 14
Проспект Гагарина, дом 23
Переулок Речной, дом 4
Улица Парковая, дом 55
Площадь Лесная, дом 9
Проспект Южный, дом 70
Улица Радужная, дом 10, кв. 8
Переулок Центральный, дом 14
Набережная Ленина, дом 7
Проспект Звездный, дом 3
Площадь Мира, дом 25
Улица Парковая, дом 6, кв. 4
Переулок Садовый, дом 11
Проспект Озерный, дом 18
Набережная Гагарина, дом 29
Улица Лесная, дом 5
Площадь Солнечная, дом 12, кв. 9
Переулок Заречный, дом 6
Улица Весенняя, дом 22
Набережная Победы, дом 40А
Проспект Речной, дом 17
Площадь Лунная, дом 8
Улица Городская, дом 2
Переулок Цветочный, дом 13
Набережная Озерная, дом 31
Проспект Сиреневый, дом 9
Площадь Лесной, дом 14, кв. 6
Улица Мира, дом 38
Переулок Парковый, дом 4
Набережная Центральная, дом 19
Проспект Зеленый, дом 27
Улица Осенняя, дом 16
Переулок Революции, дом 9
Набережная Южная, дом 23
Проспект Лунный, дом 6
Площадь Заря, дом 14
Улица Речная, дом 28
Переулок Городской, дом 5
Набережная Весенняя, дом 20
Проспект Осенний, дом 33
Площадь Цветочная, дом 7, кв. 2
Улица Заречная, дом 3
Переулок Солнечный, дом 11
Набережная Мира, дом 19
Проспект Парковый, дом 30
Площадь Звездная, дом 9
Улица Лесной, дом 25
Переулок Луночный, дом 4
Набережная Солнечная, дом 17
Проспект Лесной, дом 6
Площадь Речная, дом 22
Улица Победы, дом 13
Переулок Озерный, дом 2
Набережная Городская, дом 11
Проспект Цветочный, дом 28
Площадь Осенняя, дом 10
Улица Революции, дом 17
Переулок Южный, дом 6
Набережная Зеленая, дом 8
Проспект Центральный, дом 23
Площадь Луночная, дом 12
Улица Солнечная, дом 9
Переулок Мира, дом 16
Набережная Заречная, дом 27
Проспект Весенний, дом 4
Площадь Гагарина, дом 18
Улица Речная, дом 31
Переулок Победы, дом 5
Набережная Мира, дом 11
Проспект Цветочный, дом 7
Площадь Звездная, дом 26
Улица Сиреневая, дом 15
Переулок Городской, дом 9
Набережная Солнечная, дом 19
Проспект Лесной, дом 32
Площадь Центральная, дом 7
Улица Озерная, дом 6
Переулок Революции, дом 14
Набережная Южная, дом 18
Проспект Заречный, дом 10
Площадь Мира, дом 21
